Game name,License status,Publisher,Designer,BGG rating,Complexity,Studio projects
Leviathan Wilds,Good to go! (license granted: 2026-04-09),Moon Crab Games,Justin Kemppainen,7.9,2.5,
Trick Shot: Second Edition,Good to go! (license granted: 2026-04-09),Wolff Designa,Artyom Nichipurov,8.0,2.5,
No Loose Ends,Good to go! (license granted: 2026-04-09),GameHead,新澤 大樹 (Taiki Shinzawa),7.6,2.2,nolooseends
Gods &amp; Mortals,Good to go! (license granted: 2026-04-09),Wolff Designa,"William Borg Barthet, Artyom Nichipurov",6.7,3.0,
Biostrife,Good to go! (license granted: 2026-04-09),(Self-Published),Christopher Setien Estevez,6.4,0.0,
Discipline ～ジェレミア魔法学校の3年間～,Good to go! (license granted: 2026-04-09),636GAMES,Alan Shimojima,6.0,0.0,
Miniature Adventures: Adventure 1 &ndash; Goblin Troubles,Good to go! (license granted: 2026-04-07),Lowtek Games LLC,Jon Lowman,5.5,0.0,
Heart and Skull: The Core of Sepulchre,Good to go! (license granted: 2026-04-07),Raven Portents,Matt Johnson (II),0.0,0.0,
Drakaina,Good to go! (license granted: 2026-04-07),Lowtek Games LLC,Jon Lowman,0.0,0.0,
The Isle of Cats Duel,Good to go! (license granted: 2026-04-03),The City of Games,Frank West,7.6,2.2,theisleofcatsduel
Mythic Gems,Good to go! (license granted: 2026-04-03),TNT Creative Gaming,"Ben Teich, John Teich",8.1,2.0,mythicgems
Ardent Reapers,Good to go! (license granted: 2026-04-03),(Web published),"Gee Barger, Luke Olson",8.1,2.0,ardentreapers
Frantic,Good to go! (license granted: 2026-03-30),dV Giochi,"Fabian Engeler, Pascal Frick, Pierre Lippuner, Stefan Weisskopf",6.4,1.5,franticj
"Yandere Girlfriends: Imouto, Osananajimi, Senpai",Good to go! (license granted: 2026-03-26),(Web published),,0.0,0.0,"yanderegirlfriends, yanderegf"
The Gang,Good to go! (license granted: 2026-03-23),KOSMOS,"John Cooper, Kory Heath",7.6,1.6,"thegang, thegangdarhf"
Un mont&oacute;n de ropa sucia,Good to go! (license granted: 2026-03-20),Pi&ntilde;ata Games,Pablo Cruz Rodr&iacute;guez,8.7,2.0,
Quatuor,Good to go! (license granted: 2026-03-20),(Self-Published),Louis-David Raymond,7.3,0.0,"quatuor, quatuorbga"
Bluff King,Good to go! (license granted: 2026-03-20),(Self-Published),,10.0,0.0,bluffking
Game of Trains,Good to go! (license granted: 2026-03-17),Brain Games,"Alexey Konnov, Alexey Paltsev, Anatoliy Shklyarov, Trehgrannik",6.4,1.2,
Karakum,Good to go! (license granted: 2026-03-17),Brain Games,Arif Nezih Savi,6.9,1.4,
Deductio,Good to go! (license granted: 2026-03-17),Brain Games,Nick Federico,6.7,1.0,
Pentaurus: Duel,Good to go! (license granted: 2026-03-17),Amphora Games,"Javier Fuentes, Rafael Oliva",6.9,2.0,pentaurusduel
BUUUUUUUS,Good to go! (license granted: 2026-03-17),Spiel-ou-Face,Jean-Michel Maman,0.0,0.0,
MOLUKU,Good to go! (license granted: 2026-03-17),Spiel-ou-Face,Jean-Michel Maman,0.0,2.0,
Libertalia: Winds of Galecrest,Good to go! (license granted: 2026-03-09),Stonemaier Games,Paolo Mori,7.4,2.2,libertaliawindsofgalecrest
