objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"""Normal"" Human","456279","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138562852","0","9","0","0","0","thing","""Normal"" Human","4","16","30","30","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"1 A.M. Jailbreak","428224","0","0","0","0","0","0","0","1","0","0","1","4","","","","","","122965327","5.62606","6.52906","1","8034","656","thing","1 A.M. Jailbreak","2","5","20","20","20","2024","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10","23346","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","121981006","5.47519","4.19318","1.7143","28226","102","thing","10","2","7","0","0","0","2006","","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Africa","7865","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806630","5.98413","6.56662","1.379","3207","2344","thing","10 Days in Africa","2","4","30","30","20","2003","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Asia","22398","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806633","5.89836","6.6818","1.4286","3799","1466","thing","10 Days in Asia","2","4","25","25","25","2007","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in Europe","5867","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","62881499","6.02662","6.609","1.3478","2961","2847","thing","10 Days in Europe","2","4","30","30","20","2002","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the Americas","64956","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","122806640","5.7367","6.6645","1.375","5521","870","thing","10 Days in the Americas","2","4","30","30","20","2010","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the National Parks","442527","0","0","0","0","0","0","0","1","0","0","1","3","","","","","","135778022","0","6.53235","0","0","81","thing","10 Days in the National Parks","2","4","30","30","30","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"10 Days in the USA","7866","6","4","0","1","0","0","0","1","0","0","0","1","","","","","","59911426","6.00095","6.49494","1.3846","3107","3586","thing","10 Days in the USA","2","4","30","30","30","2003","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","5","USD","","","2025-11-20","BGG","1","","","2025-11-20","","","",""
"10 Essentials","288573","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","78579568","0","3.875","1","0","27","thing","10 Essentials","2","4","30","30","30","2018","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
