"Game Name","Shelf Location"
"10 Days in Africa", "20 D"
"10 Days in Europe", "20 D"
"10 Days in the National Parks", "20 D"
"10 Minute Heist: The Wizard's Tower", "BIN"
"12 Rivers", "7 D"
"1754: Conquest – The French and Indian War", "11 B"
"1775: Rebellion", "11 B"
"1812: The Invasion of Canada", "11 B"
"1822: The Railways of Great Britain", "11 B"
"1824: Austrian-Hungarian Railway (Second Edition)", "11 B"
"1830: Railways & Robber Barons", "11 B"
"1846: The Race for the Midwest", "11 B"
"1861: Railways of the Russian Empire & 1867: Railways of Canada", "11 B"
"18CZ", "11 B"
"1906 San Francisco", "16 E"
"1960: The Making of the President", "11 D"
"1987 Channel Tunnel", "16 E"
"1ers Contacts", "27 E"
"1st & Goal", "14 D"
"2 de Mayo", "13 B"
"21X", "16 D"
"25 Words or Less", "15 B"
"3 Chapters", "BIN"
"3 Ring Circus", "6 c"
"3 Witches", "27 B"
"3000 Scoundrels", "14 D"
"51st State: Master Set", "1 A"
"5-Minute Marvel", "16 A"
"5-Minute Mystery", "KIDS E"
"6 nimmt!", "BIN"
"7 Wonders (Second Edition)", "4 B"
"7 Wonders Dice", "28 B"
"7 Wonders Duel", "26 A"
"7 Wonders: Architects", "10 C"
"The 7th Continent: Classic Edition", "18 B"
"878 Vikings: Invasions of England", "11 B"
"9 Lives", "27 B"
"The A.R.T. Project", "12 B"
"Abomination: The Heir of Frankenstein", "4 B"
"Above and Below", "1 D"
"Above and Below: Haunted", "1 D"
"Abyss", "1 D"
"Acquire", "11 E"
"Ada's Dream", "28 E"
"Adrenaline", "12 C"
"Advanced Squad Leader: Starter Kit #1", "11 A"
"Adventure Games: Monochrome Inc.", "13 C"
"Adventure Games: The Dungeon", "13 C"
"Adventure Land", "5 D"
"Adventure Party: The Role-Playing Party Game", "15 D"
"The Adventurers: The Temple of Chac", "19 D"
"The Adventures of Conan", "20 E"
"The Adventures of Robin Hood", "25 B"
"Aeon's End", "12 E"
"Aeon's End: Outcasts", "12 E"
"After the Empire", "23 E"
"After Us", "12 D"
"Afternova", "16 D"
"The Age of Atlantis", "12 E"
"Age of Dirt: A Game of Uncivilization", "5 A"
"Age of Galaxy", "26 D"
"Age of Innovation", "7 C"
"Age of Steam", "11 E"
"Age of War", "BIN"
"Agricola (Revised Edition)", "8 C"
"Águeda: City of Umbrellas", "21 C"
"Ahoy", "17 B"
"AI Space Puzzle", "24 D"
"AI: 100% Human", "14 A"
"Air, Land, & Sea", "BIN"
"Airlines Europe", "5 E"
"Akropolis", "10 C"
"Aladdin's Dragons", "12 C"
"Alchemists", "3 C"
"Alibis", "27 C"
"Alien Artifacts", "1 A"
"Alien Frontiers: Edition X", "1 E"
"All-Star Draft", "24 B"
"Alma Mater", "3 A"
"Almanac: The Crystal Peaks", "24 E"
"Almanac: The Dragon Road", "24 E"
"Almost Innocent", "24 D"
"Alpenglow", "28 C"
"Altiplano", "9 D"
"Alubari: A Nice Cup of Tea", "3 E"
"Amalfi: Renaissance", "7 A"
"Amerigo", "7 B"
"Among Cultists: A Social Deduction Thriller", "24 A"
"Amsterdam", "3 B"
"Amun-Re", "2 A"
"Anachrony", "18 D"
"The Anarchy", "9 B"
"Anchors Aweigh!", "8 B"
"Ancient Civilizations of the Inner Sea", "11 E"
"Ancient Knowledge", "6 B"
"Ancient Terrible Things: Reawakened", "23 D"
"The Ancient World (Second Edition)", "1 D"
"Andor: The Family Fantasy Game", "KIDS D"
"Android: Mainframe", "24 B"
"Andromeda's Edge", "18 B"
"Animal Kingdoms", "13 B"
"Animals in Espionage", "BIN"
"Ankh: Gods of Egypt", "25 A"
"Ankh: Gods of Egypt – Tomb of Wonders", "25 A"
"Anno 1800", "3 D"
"Antiquity", "8 E"
"ANTS", "28 C"
"Anunnaki: Dawn of the Gods", "7 D"
"Apiary", "2 D"
"Apistocracy", "26 D"
"Apollo: A Game Inspired by NASA Moon Missions", "20 D"
"Apples to Apples: Marvel", "15 C"
"Aqua Garden", "14 E"
"Aquaria", "28 C"
"AquaSphere", "9 C"
"Aquatica", "27 D"
"Aquatica: Duellum", "27 D"
"Aramini Circus", "BIN"
"Arborea", "12 A"
"Arboretum", "BIN"
"Arbos Apfel", "23 C"
"Arcadia Quest", "22 A"
"Arcadia Quest: Pets", "22 A"
"Arcana Rising", "14 C"
"Archaeology: The Card Game", "BIN"
"Archipelago", "5 C"
"Architects of the West Kingdom", "9 B"
"ArchRavels", "14 E"
"Arcs", "17 B"
"Arctic Scavengers: Base Game+HQ+Recon", "4 C"
"Arigatō", "28 B"
"Ark Nova", "17 C"
"Arkham Horror (Third Edition)", "22 A"
"Arkham Horror: Final Hour", "14 C"
"Arkham Horror: The Card Game", "20 E"
"Around the World in 80 Days", "9 C"
"Around the World in 80 Days", "23 B"
"Arraial", "6 D"
"Art Society", "12 B"
"The Artemis Project", "9 E"
"Artifacts, Inc.", "16 C"
"Asante", "26 A"
"Ascending Empires: Zenith Edition", "26 E"
"Ascension Tactics: Miniatures Deckbuilding Game", "19 D"
"Ascension: Deckbuilding Game", "14 D"
"Ascension: Dreamscape", "14 D"
"Ascension: Skulls & Sails", "14 D"
"Ashes Reborn: Rise of the Phoenixborn", "19 D"
"Asking for Trobils (Big Box)", "17 A"
"Aspens", "26 C"
"Astro Knights", "13 B"
"At the Gates of Loyang", "8 C"
"Atiwa", "8 D"
"Atlantis Rising (Second Edition)", "5 C"
"Atlas Lost: Rise of the New Sovereigns", "6 A"
"Attack on Titan: Deck-Building Game", "14 D"
"Attack on Titan: The Last Stand", "20 D"
"Australis", "3 E"
"Autobahn", "11 D"
"Automania", "4 B"
"AuZtralia", "4 A"
"Ave Caesar", "23 A"
"Awkward Guests: The Walton Case", "24 D"
"Axio", "21 D"
"Azul", "10 B"
"Azul Duel", "26 B"
"Azul: Master Chocolatier", "10 B"
"Azul: Queen's Garden", "10 B"
"Azul: Stained Glass of Sintra", "10 B"
"Azul: Summer Pavilion", "10 B"
"Babylonia", "21 E"
"Back to the Future: Back in Time", "20 A"
"Bacon", "27 B"
"Bad Apples", "15 D"
"Bad Bones", "20 D"
"Bad Company", "4 E"
"Balderdash", "15 B"
"Bamboo", "6 C"
"BANG!", "24 A"
"BANG! The Dice Game", "BIN"
"BANG! The Duel", "24 A"
"Banned Words", "15 B"
"Barbarian Kingdoms", "26 D"
"Barbarians: The Invasion", "21 C"
"Barcelona", "4 D"
"Bardwood Grove", "7 A"
"Bärenpark", "8 B"
"Bark Avenue", "20 B"
"Barrage", "8 D"
"Baseball Highlights: 2045 – Deluxe Edition", "12 A"
"BasketBoss", "27 A"
"Bastille", "3 B"
"The Battle at Kemble's Cascade", "9 D"
"Battle Cry: 150th Civil War Anniversary Edition", "23 E"
"Battle for the Deep: Powered by Axis & Allies", "25 B"
"The Battle of Five Armies", "22 E"
"Battle of Gods", "12 D"
"The Battle of the Divas", "26 C"
"The Battle of Versailles", "26 A"
"Battle Sheep", "14 C"
"Battleball", "19 E"
"Battlelands", "BIN"
"BattleLore: Second Edition", "22 C"
"Battleship Galaxies", "23 E"
"Battlestar Galactica: The Board Game", "22 A"
"Bear Raid", "27 A"
"Bears!", "KIDS BIN"
"Beast", "13 E"
"Beat the 8 Ball", "17 D"
"Beaver Creek", "KIDS C"
"Beer & Bread", "26 A"
"Behind", "28 B"
"Belfort", "9 C"
"Bequest", "2 E"
"Best Treehouse Ever: Forest of Fun", "6 C"
"Betrayal at Baldur's Gate", "19 B"
"Betrayal at House on the Hill: 3rd Edition", "19 B"
"Between Two Castles of Mad King Ludwig", "3 C"
"Beyond the Sun", "17 B"
"Biathlon Blast", "26 D"
"Biblios", "16 B"
"Biblios: Quill and Parchment", "16 D"
"Bidder Up!", "4 E"
"Big Monster", "16 E"
"The Big Score", "4 E"
"Big Top", "27 B"
"Biohack", "7 D"
"Biome", "1 B"
"BIOTIX", "16 D"
"Bites", "27 A"
"Bitoku", "3 C"
"Black Angel", "7 B"
"Black Fleet", "5 A"
"Black Forest", "8 C"
"Black Orchestra", "5 B"
"Black Rose Wars", "18 A"
"Blackout: Hong Kong", "3 A"
"Blank Slate", "15 B"
"Blind Jack", "BIN"
"Blitz Bowl: Season 2", "23 E"
"Blitzkrieg!: World War Two in 20 Minutes", "26 B"
"Blob Party", "15 B"
"Blob Party: Neon Nights", "15 B"
"Block Ness", "23 C"
"Blockbuster", "15 D"
"Blokus", "23 C"
"Blood Bowl: Team Manager – The Card Game", "25 B"
"Blood on the Clocktower", "18 C"
"Blood Rage", "25 A"
"Bloodborne: The Card Game", "14 C"
"The Bloody Inn", "13 C"
"Bloom", "BIN"
"Blossoms", "BIN"
"Blue Lagoon", "6 E"
"Blue Moon City", "5 D"
"Bob Ross: Art of Chill Game", "20 D"
"Bob Ross: Happy Little Accidents", "14 B"
"Bohemians", "28 A"
"Bohnanza", "16 B"
"The Boldest", "2 C"
"Bomb Busters", "24 D"
"Bonfire", "8 A"
"Bonsai", "17 B"
"Books of Time", "5 B"
"Boomerang", "BIN"
"Boonlake", "9 D"
"BOOoop.", "10 C"
"boop.", "10 C"
"Bootleggers", "7 D"
"Bora Bora", "8 A"
"Bosk", "17 A"
"Boss Monster: The Dungeon Building Card Game", "16 D"
"Bot Factory", "7 A"
"Botanicus", "5 E"
"Botswana", "21 B"
"Bottle Imp", "BIN"
