"Game Name","Shelf Location"
"10 Days in Africa","12E"
"10 Days in Asia","12E"
"10 Days in Europe","12E"
"10 Days in the Americas","12E"
"10 days in the National Parks","12E"
"10 Days in the USA","12E"
"12 Chip Trick","54D"
"12 Thieves","32D"
"13 Clues","13A"
"13 Dead End Drive","28E"
"13 Words","31B"
"14 Frantic Minutes","51D"
"14 Frantic Minutes","48D"
"1775: Rebellion","48D"
"18 India","49A"
"1812: The Invasion of Canada","48D"
"1830: Railways & Robber Barons","14A"
"1835","45D"
"1846: The Race for the Midwest","49A"
"1848: Australia","49A"
"1862: Railway Mania in the Eastern Counties","49A"
"18CZ","45D"
"18Lilliput","40D"
"1941: Race to Moscow","47C"
"1944: Race to the Rhine","49D"
"1960: The Making of the President","45E"
"1960: The Making of the President","49A"
"1980 Sixtina","52M"
"1989: Dawn of Freedom","49A"
"1st & Goal","39B"
"2 de Mayo","36E"
"20 Strong","53C"
"20th Century","45E"
"3 Ring Circus","4B"
"3-2-1 Countdown","52N"
"3000 Scoundrels","24D"
"5 Towers","45B"
"5-Minute Dungeon","22A"
"5-Minute Mystery","13B"
"51st State: Master Set","1E"
"6 Castelos","29E"
"7 Ages","17A"
"7 Days of Westerplatte","40E"
"7 Empires","8C"
"7 Wonders","2C"
"7 Wonders","2C"
"7 Wonders","2C"
"7 Wonders","50A"
"7 Wonders Dice","2C"
"7 Wonders Dice","50A"
"7 Wonders Duel","41C"
"7 Wonders Duel","41C"
"7 Wonders: Architects","2C"
"7 Wonders: Architects","2C"
"7 Wonders: Architects","50A"
"878 Vikings: Invasions of England","48D"
"878 Vikings: Invasions of England","48D"
"878 Vikings: Invasions of England","31E"
"9 Lives","54F"
"A Brief History of the World","30C"
"A Castle for All Seasons","30C"
"A Distant Plain","49B"
"A Fake Artist Goes to New York","54U"
"A Feast for Odin","41D"
"A Feast for Odin","41D"
"A Fistful of Meeples","24C"
"A Fistful of Meeples","19C"
"A Fistful of Meeples","44A"
"A Gentle Rain","54J"
"A Gest of Robin Hood","35E"
"A Handful of Stars","1C"
"A House Divided: The American Civil War, 1861-1865","36E"
"A Message From The Stars","31A"
"A Midsummer Night's Fayre","5A"
"A Sargasso Sea of Space","52O"
"A Sargasso Sea of Space","1C"
"A Universal Truth","32D"
"A War of Whispers","3D"
"Abaddon","33E"
"Abandon All Artichokes","54I"
"Abomination: The Heir of Frankenstein","9E"
"Above and Below","4C"
"Above and Below: Haunted","4C"
"Abracadabra","53G"
"Abyss","5D"
"Acquire","20D"
"Acquire","20D"
"Adrenaline","3A"
