Publisher,Is working with BGA?,Available,NON available,Published!
Publisher	Is working with BGA?	Available	NON available	Published!,YES,,,
# Hashtag 64,YES,ARDEVUR: The Game of Resources (5.2),,
&Eacute;ditions 12H12,YES,,,Forfort (9.0)
&iquest;Qui&eacute;n quiere ser presidente?,YES,&iquest;Qui&eacute;n quiere ser presidente? (7.5),,
(Self-Published),YES,"Crash Tackle Rugby Board Game (7.7), Philosophia (6.7), I Am Death Now? (6.1), Heroes of the Shire (7.8), Pack the Essentials (6.6), Iro (7.5), Welcome to Sysifus Corp (7.6), The Coding (7.7), Shrinkopolis (7.2), Warring Kingdom (7.4), Layer Puzzle (7.1), Clear the Decks! (6.6), Pentagame (6.9), Mainland (6.9), STASH Card Game (8.4), Merkez (8.2), Mons And Mages (7.4), Omen (9.2), Catopomp (7.5), Trouble on the Tempus (8.7), Battle of GOG (6.8), Nataterra (8.7), Miyav! (7.8), Benediction (7.6), Journey Into The Beyond (8.2), Six Empires (9.2), Noir (7.4), Triomph (6.7), Biostrife (6.4), Cats' Warfare (9.3), American Pandemic: The Party Card Game (5.7), Toll House (9.4), Veil Of Ruin (9.7), Janken Deck (7.2), Tape l'&eacute;tape (7.1), Urto (7.0), Thalamus (6.5), 2020: The Board Game (10.0), RAMO (8.0), Base Roll (7.6), CovidParty! (9.8), Captains &amp; Companies (9.5), Scruffy's Treasure Hunt (10.0), The Square Ring (9.3), Cupcake Rush! (9.2), New Sicilian Tarot (9.0), Two Degrees (7.5), Quatuor (7.3), Panic Mode! (6.7), Gridlock: Boston (6.0), Cornered (5.8), Grammar Girl's Peeve Wars (4.0), Prison: Can you escape? (10.0), Competing Cat Castles (10.0), Treasure 'N Mutiny! (10.0), Men of the Sword (9.5), K&oacute;dem TCG (8.5), OOF-DAH! COMPLETE (8.5), Unique Units (8.0), OAKO (8.0), &iexcl;A Cachinear! (8.0), Ruthless Conquest (7.0), King's Keys deck (3.5), Warlords of Ravenna (10.0), Cờ ngũ h&agrave;nh (10.0), Going Further: Multiplayer edition (10.0), Growers and Showers (10.0), Big Time Hockey (10.0), Blocks (10.0), I Quit! (10.0), Empire: TCG (10.0), Sheep Shuffle (10.0), Stock Trader: The Stock Market Board Game (10.0), The Selenolyth (10.0), Survival Chess: Tartan Grid (10.0), Archivarium (10.0), Enneatrix (10.0), Heralds of Silence (10.0), Bluff King (10.0), Warriors of Legend (9.0), Vak! (9.0), Tides of War (9.0), Diddly (9.0), Math Kings (8.0), Rabbit vs Bondsman (8.0), Counter Chaos (8.0), Petits Complots entre Amis (7.0), Sprout (6.9), Air Master (6.0), 假说演绎法 (The selfish gene) (5.0), The Game of Gates (0.0), Пять Слов (Five Words) (0.0), Thieves' Dilemma (0.0), King's Eye (0.0), Splinter (0.0), The Black Tail's Panda Slayer (0.0), Digital Transformation Card Game (0.0), Witch Hunt 1649: The Dregs of Days (0.0), King of Spicey (0.0), March of the Wicked Horde (0.0), Autocracy (0.0), Power City Arena (0.0), Master Of Innuendo (0.0), Plan de table (0.0), Prout (0.0), DeFuZion: Wild Dice (0.0)",Trashdown (0.0),"Don't Let It Die (6.9), Neutreeko (5.5), First Ascent (7.5), The Jelly Monster Lab (4.5), Marram (4.2), Indian Chief (6.7), Bauer (8.0), Vege Tables (6.8), Wana (7.4), Mind Cycling (9.0), Call of Katulhu (7.0), Seriously!? (6.8), The Rainbow (7.5), None Shall Pass! (5.9), Block Arena (8.3), Inverted Dice (7.0), Love Links (5.7), Quintus (10.0), Roll Into Town (8.3), TriATri (8.0), SPYBAM (10.0), Meidum (10.0), Koninkrijk (Kingdoms) (9.0), Caboodle (7.0), Factum (0.0), Wastelandia: A Co-op RPG Battle Game (0.0), Diceathlon (0.0), Oracle BABET (0.0), Colour Scapes (0.0), Elongo (0.0)"
(Unknown),YES,,,"Herooj (5.3), Commander Chess (9.4), Raubbau (0.0)"
(Unpublished),YES,"Politica Mexicana (4.4), Rise to Glory (10.0), Foibles (10.0), Cochechs (10.0), Cubix (9.0), Blue Moon (7.5), 3 &amp; 4: The Game (0.0)",,"Unpublished Prototype (6.9), Yin Yang (5.2), Quattuor Reges (0.0)"
(Web published),YES,"Rollway Station (7.2), Grimm World (7.5), Euronimoes (7.7), Agony Aunt (7.1), Ardent Reapers (8.1), Rook &amp; Ruin (8.7), Magical Square (7.0), Winter Diceathlon (4.5), Creekos: The Card Game (8.3), Buddha (9.0), Pocket Innovation (7.9), Bias Effect: A game of cognitive combat (10.0), Nexus Syndicate (8.4), Addio (7.3), Quint (7.5), Seven Kingdoms (10.0), Craftin' Race (6.5), Big Time Curling (0.0), Majesty Adventure (0.0), Nine Men's Morris Evolution (0.0), Ping-pong (0.0), Zombies At Home (0.0), Solitri (0.0), I.I.T.A.P.: It is the Apocalypse, People! (0.0), Yandere Girlfriends: Imouto, Osananajimi, Senpai (0.0)",,"Hex (6.7), Blooms (6.7), The Brambles: A Solo Card Game (7.9), Ice Cold Ice Hockey (5.0), ECK: A solo trick-taking card game (7.3), All In: A Flip&amp;Write Showdown (7.5), Trike (7.9), Vidrasso (7.7), Tumbleweed (9.2), Dice Pyramid (7.3), Deck EXPRESS: Southern Railway (7.0), Lifeline (7.8), Squirrel Island (7.7), Rolling Pins (6.8), Road to 300 (6.4), Injawara (4.2), Lielow (9.0), Blast Radius (7.5), Churn (5.7), Deck EXPRESS: Tennessee Central (9.0), Carpniches (7.0)"
-Public Domain-,YES,"Memory (4.8), Napoleon (6.5)",,"Chess (7.1), Go (7.6), Liar's Dice (6.9), Yahtzee (5.4), Backgammon (6.5), Cribbage (7.1), Checkers (4.9), Othello (6.1), Mahjong (7.0), Kalah (5.9), Hearts (6.5), Spades (6.8), Xiangqi (7.1), Oh Hell! (6.8), Scopa (6.6), Senet (5.8), Go-Moku (6.0), Koi-Koi (6.6), All Fours / Pitch (6.8), Belote (6.6), Klaverjassen (7.0), Logger (5.9), Machiavelli (5.5), Four color cards / See Sek (4.9), Congkak (6.9), The Amusing Game of Kilkenny Cats (6.0)"
1-2-3-Games &Eacute;ditions,YES,Crazymino (7.0),,
